,동행지수순환변동치,선행지수순환변동치
201611 ,100.9 ,99.9 
201612 ,101.1 ,100.1 
201701 ,101.6 ,100.3 
201702 ,101.6 ,100.5 
201703 ,101.9 ,100.6 
201704 ,101.9 ,100.7 
201705 ,102.1 ,100.7 
201706 ,102.1 ,100.9 
201707 ,102.1 ,100.9 
201708 ,102.1 ,101.1 
201709 ,102.3 ,101.0 
201710 ,102.1 ,101.0 
201711 ,102.1 ,100.9 
201712 ,101.7 ,100.8 
201801 ,101.7 ,100.8 
201802 ,101.9 ,100.8 
201803 ,101.9 ,100.8 
201804 ,101.9 ,100.4 
201805 ,101.8 ,100.4 
201806 ,101.8 ,100.3 
201807 ,101.6 ,100.2 
201808 ,101.5 ,99.9 
201809 ,101.1 ,99.7 
201810 ,100.9 ,99.4 
201811 ,100.7 ,99.2 
201812 ,100.5 ,98.9 
201901 ,100.7 ,98.8 
201902 ,100.1 ,98.7 
201903 ,100.1 ,98.8 
201904 ,99.9 ,98.8 
201905 ,100.2 ,98.6 
201906 ,100.2 ,98.3 
201907 ,100.2 ,98.1 
201908 ,100.4 ,98.0 
201909 ,100.4 ,98.1 
201910 ,100.4 ,98.4 
201911 ,100.2 ,98.7 
201912 ,100.5 ,99.0 
202001 ,100.8 ,99.0 
202002 ,100.1 ,99.0 
202003 ,99.0 ,98.5 
202004 ,97.8 ,98.2 
202005 ,97.0 ,97.9 
202006 ,97.2 ,98.2 
202007 ,97.4 ,98.5 
202008 ,98.0 ,98.9 
202009 ,98.3 ,99.2 
202010 ,98.9 ,99.5 
202011 ,99.4 ,100.0 
202012 ,99.4 ,100.2 
202101 ,99.2 ,100.5 
202102 ,99.2 ,100.7 
202103 ,99.7 ,100.9 
202104 ,100.4 ,101.3 
202105 ,100.5 ,101.6 
202106 ,100.6 ,101.8 
202107 ,100.7 ,101.6 
202108 ,100.9 ,101.4 
202109 ,100.8 ,101.1 
202110 ,100.9 ,100.7 
202111 ,101.1 ,100.4 
202112 ,101.8 ,100.2 
202201 ,102.4 ,100.1 
202202 ,102.6 ,99.8 
