,개인,외국인,기관
2021-03-03,"-6,631 ",-119 ,"6,896 "
2021-03-02,"-6,249 ","2,081 ","4,371 "
2021-02-26,"37,785 ","-28,174 ","-10,301 "
2021-02-25,"-19,361 ","9,701 ","9,749 "
2021-02-24,"5,614 ","6,366 ",-825 
2021-02-23,773 ,"-2,955 ","3,387 "
2021-02-22,"7,497 ","-3,155 ","-4,601 "
2021-02-19,"3,742 ","-2,981 ",-656 
2021-02-18,"14,677 ","-8,571 ","-6,130 "
2021-02-17,"18,107 ","-4,815 ","-13,465 "
2021-02-16,"4,226 ","2,416 ","-6,685 "
2021-02-15,"-3,526 ","7,317 ","-4,193 "
2021-02-10,"1,302 ","7,520 ","-9,166 "
2021-02-09,487 ,"-2,223 ","1,568 "
2021-02-08,847 ,"-3,584 ","2,805 "
2021-02-05,"-4,021 ","1,900 ","2,343 "
2021-02-04,"24,704 ","-6,394 ","-18,357 "
2021-02-03,"1,239 ","4,265 ","-5,740 "
2021-02-02,"-1,883 ","1,966 ",-131 
2021-02-01,"-7,825 ","1,319 ","6,892 "
2021-01-29,"16,971 ","-14,220 ","-2,544 "
2021-01-28,"19,294 ","-15,670 ","-3,794 "
2021-01-27,"10,604 ","-6,216 ","-3,961 "
2021-01-26,"42,050 ","-19,699 ","-22,520 "
2021-01-25,"-5,712 ","2,793 ","3,688 "
2021-01-22,"16,083 ","-2,680 ","-13,648 "
2021-01-21,-625 ,"3,683 ","-2,927 "
2021-01-20,"14,368 ","-2,368 ","-12,345 "
2021-01-19,"-10,254 ","4,100 ","5,940 "
2021-01-18,"5,143 ","-2,094 ","-2,789 "
2021-01-15,"21,139 ","-7,536 ","-14,147 "
2021-01-14,"7,127 ","6,775 ","-14,290 "
2021-01-13,"1,691 ","1,935 ","-3,725 "
2021-01-12,"23,124 ","-6,189 ","-17,239 "
2021-01-11,"44,921 ","-7,176 ","-37,432 "
2021-01-08,"-5,591 ","16,435 ","-11,479 "
2021-01-07,"-11,836 ","1,134 ","10,339 "
2021-01-06,"17,293 ","-3,975 ","-13,692 "
2021-01-05,"7,284 ","-2,082 ","-5,363 "
2021-01-04,"10,310 ",897 ,"-11,899 "
2020-12-30,"-4,916 ","2,458 ","1,959 "
2020-12-29,"21,969 ","-3,106 ","-19,734 "
2020-12-28,"-9,460 ",780 ,"8,303 "
2020-12-24,"-8,031 ","1,192 ","6,297 "
2020-12-23,"-3,859 ",829 ,"3,017 "
2020-12-22,"3,694 ","-1,696 ","-2,029 "
2020-12-21,-855 ,-107 ,"1,322 "
2020-12-18,"3,898 ","-1,918 ","-1,497 "
2020-12-17,"3,252 ","-2,584 ",-107 
2020-12-16,"-2,403 ",934 ,"2,127 "
2020-12-15,"6,077 ","-3,736 ","-2,375 "
2020-12-14,"10,334 ","-3,589 ","-7,033 "
2020-12-11,-477 ,"-1,627 ","2,101 "
2020-12-10,"8,913 ","-13,636 ","4,441 "
2020-12-09,"-5,062 ","1,626 ","3,058 "
2020-12-08,"11,228 ","-8,450 ","-2,701 "
2020-12-07,"9,768 ",-629 ,"-9,237 "
2020-12-04,"-3,432 ","7,610 ","-4,101 "
2020-12-03,"1,780 ","2,097 ","-3,849 "
