,개인,외국인,기관
2017-11-24,"-1,059 ","-1,105 ","1,773 "
2017-11-23,-24 ,-757 ,419 
2017-11-22,-819 ,397 ,232 
2017-11-21,"-5,085 ","3,916 ",983 
2017-11-20,899 ,"2,151 ","-3,395 "
2017-11-17,"-1,419 ","5,489 ","-4,401 "
2017-11-16,-798 ,"2,862 ","-2,089 "
2017-11-15,-369 ,-647 ,810 
2017-11-14,"-1,290 ",-969 ,"1,834 "
2017-11-13,"2,579 ",-642 ,"-2,267 "
2017-11-10,"1,432 ","-1,889 ",169 
2017-11-09,"2,090 ",-670 ,"-1,853 "
2017-11-08,617 ,540 ,-706 
2017-11-07,-740 ,"2,444 ",-707 
2017-11-06,"1,810 ","1,456 ","-3,681 "
2017-11-03,"-1,683 ","-1,476 ","2,724 "
2017-11-02,"1,546 ",-12 ,"-1,952 "
2017-11-01,"-2,305 ","3,032 ","-1,144 "
2017-10-31,-249 ,"4,191 ","-3,958 "
2017-10-30,"2,620 ","2,517 ","-5,217 "
2017-10-27,-130 ,965 ,-958 
2017-10-26,-363 ,-266 ,626 
2017-10-25,571 ,"1,119 ","-1,661 "
2017-10-24,684 ,"-1,014 ",270 
2017-10-23,"2,042 ","3,156 ","-6,174 "
2017-10-20,-407 ,"1,615 ","-1,751 "
2017-10-19,-23 ,26 ,-152 
2017-10-18,-62 ,-320 ,-469 
2017-10-17,"1,458 ",-515 ,"-1,497 "
2017-10-16,-717 ,-274 ,493 
2017-10-13,"-1,135 ",-358 ,"1,094 "
2017-10-12,-548 ,"2,440 ","-2,212 "
2017-10-11,538 ,"7,007 ","-5,339 "
2017-10-10,"-3,104 ","8,177 ","-5,619 "
2017-09-29,"-1,566 ",310 ,688 
2017-09-28,"1,189 ","-1,291 ",-495 
2017-09-27,"1,658 ","-2,808 ",407 
2017-09-26,"-1,578 ","-3,852 ","5,065 "
2017-09-25,225 ,-335 ,-408 
2017-09-22,451 ,254 ,"-1,144 "
2017-09-21,"1,807 ",971 ,"-2,009 "
2017-09-20,858 ,"-1,881 ",576 
2017-09-19,"1,497 ","-1,434 ",-512 
2017-09-18,"-1,615 ","2,196 ",-819 
2017-09-15,108 ,-881 ,674 
2017-09-14,"1,922 ",-231 ,455 
2017-09-13,-606 ,-58 ,416 
2017-09-12,-52 ,"-1,859 ","1,462 "
2017-09-11,"-2,332 ","-1,506 ","3,638 "
2017-09-08,455 ,139 ,-834 
2017-09-07,"-2,246 ",724 ,"1,251 "
2017-09-06,"1,073 ","-3,253 ","1,755 "
2017-09-05,-660 ,"-2,133 ","2,429 "
2017-09-04,"-3,434 ",43 ,"3,165 "
2017-09-01,"1,040 ",763 ,"-2,178 "
2017-08-31,"1,277 ","-1,100 ",-548 
2017-08-30,"-1,277 ",-676 ,"1,848 "
2017-08-29,"2,089 ","-2,640 ",472 
2017-08-28,-923 ,-599 ,"1,196 "
2017-08-25,"-1,668 ",-259 ,"1,683 "
2017-08-24,"-1,720 ",172 ,"1,208 "
2017-08-23,742 ,"1,091 ","-2,016 "
2017-08-22,"-1,688 ",659 ,885 
2017-08-21,508 ,-212 ,-779 
2017-08-18,539 ,62 ,-891 
2017-08-17,407 ,"1,744 ","-2,306 "
2017-08-16,"1,572 ","-1,038 ",-670 
2017-08-14,"-1,204 ","-2,582 ","3,586 "
2017-08-11,-702 ,"-5,862 ","6,225 "
2017-08-10,"-1,702 ","-2,258 ","4,279 "
2017-08-09,-867 ,"-2,563 ","3,052 "
2017-08-08,431 ,917 ,"-1,500 "
2017-08-07,-402 ,933 ,-942 
2017-08-04,-947 ,"-1,637 ","2,148 "
2017-08-03,"3,576 ","-4,027 ",102 
2017-08-02,73 ,"1,356 ","-1,704 "
2017-08-01,"-1,750 ",-362 ,"1,798 "
2017-07-31,"-2,606 ","-2,551 ","4,861 "
2017-07-28,789 ,"-5,599 ","4,822 "
2017-07-27,"-1,365 ","-2,083 ","3,589 "
2017-07-26,"-1,007 ","-3,551 ","4,599 "
2017-07-25,635 ,"-3,411 ","2,657 "
2017-07-24,210 ,"-1,683 ","1,441 "
2017-07-21,"-2,170 ","2,884 ",-611 
2017-07-20,"-1,451 ",582 ,484 
2017-07-19,-773 ,-978 ,"1,290 "
2017-07-18,610 ,"-2,175 ","1,220 "
2017-07-17,"-1,130 ",-428 ,"1,117 "
2017-07-14,-534 ,"1,989 ",242 
2017-07-13,"-2,064 ","3,403 ","-1,861 "
2017-07-12,"1,804 ","3,839 ","-2,520 "
2017-07-11,"-1,237 ",982 ,-204 
2017-07-10,-462 ,-580 ,772 
2017-07-07,636 ,"2,766 ",549 
2017-07-06,"1,291 ","2,190 ","-3,999 "
2017-07-05,540 ,-61 ,-816 
2017-07-04,447 ,"-1,936 ","1,041 "
2017-07-03,-843 ,"1,076 ",-845 
2017-06-30,"1,086 ",-385 ,"-1,200 "
2017-06-29,"-1,667 ",999 ,201 
2017-06-28,"1,335 ","-1,810 ",-63 
2017-06-27,"2,221 ",541 ,"-3,260 "
2017-06-26,220 ,441 ,"-1,225 "
2017-06-23,"-2,994 ","1,664 ","1,061 "
2017-06-22,758 ,"1,831 ",473 
2017-06-21,"2,943 ","-1,826 ","-1,859 "
2017-06-20,"3,582 ","4,887 ","-5,985 "
2017-06-19,"-1,019 ","1,235 ",-545 
2017-06-16,550 ,"-1,629 ",582 
2017-06-15,"2,587 ",123 ,"-3,060 "
2017-06-14,529 ,236 ,"-1,221 "
2017-06-13,"-1,219 ",-782 ,"1,625 "
2017-06-12,"4,988 ","-1,445 ","-4,078 "
2017-06-09,"-1,763 ","1,525 ",-370 
2017-06-08,979 ,"2,835 ","-4,536 "
2017-06-07,"1,265 ","1,149 ","-2,967 "
2017-06-05,43 ,"2,740 ","-3,278 "
2017-06-02,"-2,407 ","4,475 ","-2,510 "
2017-06-01,751 ,-103 ,-893 
2017-05-31,-369 ,"-3,623 ","3,609 "
2017-05-30,135 ,-456 ,-29 
2017-05-29,515 ,240 ,"-1,069 "
2017-05-26,"-2,587 ","1,208 ",851 
2017-05-25,"-4,053 ","1,184 ","2,656 "
2017-05-24,-365 ,775 ,-894 
2017-05-23,"-2,616 ",-541 ,"2,812 "
2017-05-22,-885 ,"2,882 ","-2,602 "
2017-05-19,-651 ,401 ,-276 
2017-05-18,-191 ,259 ,-638 
2017-05-17,"1,617 ",79 ,"-2,189 "
2017-05-16,234 ,"2,345 ",730 
2017-05-15,350 ,-971 ,252 
2017-05-12,"3,635 ","-3,038 ",-939 
2017-05-11,"-4,441 ","1,017 ","3,318 "
2017-05-10,"-1,005 ","1,117 ",-462 
2017-05-08,"-6,632 ","5,394 ",855 
2017-05-04,-709 ,"3,612 ","-3,334 "
2017-05-02,"-1,297 ","1,333 ",-474 
2017-04-28,"3,399 ",-162 ,"-3,548 "
2017-04-27,"1,549 ",116 ,"-1,587 "
2017-04-26,"-3,680 ","2,935 ",768 
2017-04-25,"-3,678 ","6,486 ","-2,810 "
2017-04-24,"-2,495 ","3,355 ",-724 
2017-04-21,"-3,165 ","2,342 ",899 
2017-04-20,"-2,761 ",739 ,"2,236 "
2017-04-19,"1,159 ","-2,262 ","1,104 "
2017-04-18,-482 ,98 ,385 
2017-04-17,"-1,610 ","-1,146 ","2,666 "
2017-04-14,444 ,-755 ,228 
2017-04-13,"-1,138 ",-19 ,"1,042 "
2017-04-12,248 ,741 ,"-1,048 "
2017-04-11,314 ,"-1,276 ",978 
2017-04-10,64 ,-541 ,-45 
2017-04-07,104 ,-791 ,"1,031 "
2017-04-06,"1,683 ",-933 ,"-1,179 "
2017-04-05,"1,280 ",-74 ,"-1,672 "
2017-04-04,"1,794 ","-1,029 ","-1,235 "
2017-04-03,-593 ,-233 ,312 
2017-03-31,"-1,110 ",265 ,329 
2017-03-30,656 ,902 ,"-1,692 "
2017-03-29,368 ,-618 ,-264 
2017-03-28,19 ,216 ,-818 
2017-03-27,167 ,364 ,"-1,047 "
2017-03-24,"-1,868 ",-905 ,"2,207 "
2017-03-23,"-1,284 ",539 ,182 
2017-03-22,"1,813 ",-957 ,"-1,169 "
2017-03-21,"-2,348 ","3,613 ","-1,899 "
2017-03-20,850 ,-844 ,-517 
2017-03-17,-935 ,"2,504 ","-2,104 "
2017-03-16,"-2,374 ","2,776 ",-893 
2017-03-15,847 ,"1,292 ","-2,688 "
2017-03-14,-501 ,"4,060 ","-4,065 "
2017-03-13,"-2,824 ","4,542 ","-2,161 "
2017-03-10,553 ,"1,589 ","-2,781 "
2017-03-09,"1,105 ","4,434 ","-6,175 "
2017-03-08,-174 ,"1,536 ","-1,966 "
2017-03-07,"-2,461 ",924 ,"1,000 "
2017-03-06,-487 ,"2,562 ","-2,637 "
2017-03-03,"1,065 ",-324 ,"-1,253 "
2017-03-02,"-1,071 ","6,802 ","-6,206 "
2017-02-28,"-1,164 ",645 ,-273 
2017-02-27,-326 ,"-2,262 ","2,174 "
2017-02-24,78 ,-52 ,-518 
2017-02-23,-274 ,352 ,-588 
2017-02-22,-936 ,"4,535 ","-1,987 "
2017-02-21,"-3,185 ","1,243 ","1,539 "
2017-02-20,"1,032 ",538 ,"-2,097 "
2017-02-17,"-4,841 ","2,894 ","1,485 "
2017-02-16,426 ,"1,649 ","-2,654 "
2017-02-15,"-1,751 ",-296 ,"1,591 "
2017-02-14,"-1,367 ","-1,223 ","2,653 "
2017-02-13,"-2,787 ",54 ,"2,307 "
2017-02-10,"-2,473 ","-1,074 ","3,136 "
2017-02-09,221 ,624 ,"-1,278 "
2017-02-08,931 ,"-2,425 ","1,044 "
2017-02-07,-320 ,"-1,586 ","1,437 "
2017-02-06,"-1,136 ",24 ,639 
2017-02-03,"1,109 ","-1,087 ",-597 
2017-02-02,612 ,707 ,"-1,785 "
2017-02-01,-871 ,-123 ,551 
2017-01-31,"1,323 ","-3,018 ","1,182 "
2017-01-26,"-2,148 ","3,640 ","-1,960 "
2017-01-25,"1,093 ","2,084 ","-3,757 "
2017-01-24,-125 ,-132 ,92 
2017-01-23,-118 ,"1,170 ","-1,093 "
2017-01-20,67 ,-465 ,380 
2017-01-19,"1,288 ","1,471 ","-2,829 "
2017-01-18,-723 ,-194 ,874 
2017-01-17,-830 ,-81 ,903 
2017-01-16,400 ,"-2,393 ","1,847 "
2017-01-13,-585 ,"-1,066 ","1,635 "
2017-01-12,-321 ,342 ,-104 
2017-01-11,"-4,300 ","4,838 ",-551 
2017-01-10,"1,286 ",996 ,"-2,498 "
2017-01-09,"1,934 ","2,510 ","-4,574 "
2017-01-06,-288 ,"1,686 ","-1,365 "
2017-01-05,655 ,868 ,"-1,648 "
2017-01-04,"1,272 ","2,147 ","-3,583 "
2017-01-03,-112 ,"1,717 ","-1,750 "
2017-01-02,386 ,275 ,-847 
2016-12-29,"1,562 ","1,284 ","-2,968 "
2016-12-28,"2,810 ","1,306 ","-4,148 "
2016-12-27,"-2,588 ",923 ,"1,736 "
2016-12-26,-878 ,-353 ,"1,253 "
2016-12-23,"-1,255 ",-977 ,"2,283 "
2016-12-22,-297 ,-539 ,759 
2016-12-21,-82 ,775 ,-691 
2016-12-20,-335 ,601 ,-291 
2016-12-19,788 ,49 ,-795 
2016-12-16,254 ,678 ,"-1,621 "
2016-12-15,-676 ,-34 ,660 
2016-12-14,132 ,"1,769 ","-1,890 "
2016-12-13,"-1,025 ","1,120 ",-147 
2016-12-12,-964 ,847 ,148 
2016-12-09,"-1,177 ",559 ,584 
2016-12-08,"-6,546 ",283 ,"6,551 "
2016-12-07,141 ,783 ,-908 
2016-12-06,"-3,605 ",791 ,"2,929 "
2016-12-05,"-1,144 ",-49 ,"1,013 "
2016-12-02,230 ,-20 ,-476 
2016-12-01,209 ,310 ,-527 
2016-11-30,446 ,"2,714 ","-3,176 "
2016-11-29,-83 ,"4,494 ","-1,493 "
2016-11-28,-196 ,"2,066 ","-2,046 "
2016-11-25,-363 ,185 ,-39 
2016-11-24,138 ,"-1,426 ","1,043 "
2016-11-23,"-2,163 ","1,641 ","4,066 "
2016-11-22,"-1,403 ","3,397 ",517 
2016-11-21,-393 ,670 ,-490 
2016-11-18,"2,350 ",610 ,"-3,310 "
2016-11-17,71 ,605 ,-907 
2016-11-16,-710 ,-98 ,657 
2016-11-15,718 ,"-2,083 ","1,092 "
2016-11-14,307 ,"-3,371 ","2,781 "
2016-11-11,897 ,"-4,495 ","3,782 "
2016-11-10,"-3,101 ",482 ,"2,295 "
2016-11-09,"-1,269 ","-2,132 ","3,095 "
2016-11-08,187 ,-570 ,126 
2016-11-07,-860 ,"-2,191 ","2,914 "
2016-11-04,-110 ,"-1,915 ","1,925 "
2016-11-03,"-1,355 ","-2,055 ","3,398 "
2016-11-02,"-1,301 ",-224 ,"1,478 "
2016-11-01,-912 ,140 ,659 
2016-10-31,"-1,441 ",97 ,"1,310 "
2016-10-28,570 ,-339 ,-139 
2016-10-27,-37 ,277 ,-240 
2016-10-26,575 ,-857 ,299 
2016-10-25,"-1,878 ",-678 ,"2,424 "
2016-10-24,"-2,555 ",903 ,"1,586 "
2016-10-21,-670 ,440 ,111 
2016-10-20,"-1,227 ","1,070 ",173 
2016-10-19,-164 ,"2,276 ","-2,102 "
2016-10-18,"-2,844 ","1,875 ",864 
2016-10-17,-486 ,"2,911 ","-2,437 "
2016-10-14,-437 ,328 ,-10 
2016-10-13,"3,754 ","1,944 ","-5,702 "
2016-10-12,-698 ,"-5,544 ","6,243 "
2016-10-11,"-1,542 ","-3,368 ","4,819 "
2016-10-10,"-3,040 ",-420 ,"3,235 "
2016-10-07,"1,964 ",385 ,"-2,369 "
2016-10-06,475 ,919 ,"-1,473 "
2016-10-05,992 ,-26 ,"-1,102 "
2016-10-04,-894 ,"1,793 ",-901 
2016-09-30,"3,779 ","-1,558 ","-2,389 "
2016-09-29,"-2,133 ","1,809 ",252 
2016-09-28,864 ,"-1,165 ",404 
2016-09-27,"-2,646 ",225 ,"2,547 "
2016-09-26,-29 ,-176 ,"-1,189 "
2016-09-23,"-2,912 ",-460 ,"1,944 "
2016-09-22,"-1,320 ","1,266 ","-1,388 "
2016-09-21,131 ,878 ,"-2,269 "
2016-09-20,"1,155 ",987 ,"-3,459 "
2016-09-19,973 ,469 ,"-2,733 "
2016-09-13,"2,989 ","2,476 ","-6,883 "
2016-09-12,884 ,"-2,183 ","1,363 "
2016-09-09,913 ,-503 ,-483 
2016-09-08,41 ,"1,800 ","-1,825 "
2016-09-07,-202 ,814 ,-464 
2016-09-06,421 ,"2,688 ","-3,089 "
2016-09-05,"-3,938 ","2,694 ","1,387 "
2016-09-02,-172 ,"2,162 ","-1,935 "
2016-09-01,989 ,"-1,407 ",385 
2016-08-31,105 ,204 ,-90 
2016-08-30,"-1,726 ",503 ,"1,276 "
2016-08-29,-420 ,830 ,-394 
2016-08-26,-614 ,"-3,841 ","1,905 "
2016-08-25,-33 ,"-3,207 ","2,531 "
2016-08-24,-178 ,-475 ,-390 
2016-08-23,791 ,450 ,"-2,163 "
2016-08-22,863 ,-131 ,"-1,839 "
2016-08-19,531 ,"2,186 ","-3,539 "
2016-08-18,-90 ,"1,886 ","-1,845 "
2016-08-17,438 ,128 ,-876 
2016-08-16,-363 ,331 ,-206 
2016-08-12,"-1,793 ",578 ,995 
2016-08-11,255 ,-176 ,-337 
2016-08-10,"-1,893 ","3,077 ","-1,364 "
2016-08-09,"-3,140 ","2,072 ",762 
2016-08-08,"-2,024 ",797 ,860 
2016-08-05,"-1,990 ","2,470 ",-728 
2016-08-04,472 ,376 ,"-1,090 "
2016-08-03,"2,538 ",-868 ,"-1,962 "
2016-08-02,"1,062 ",528 ,"-1,806 "
2016-08-01,"-1,049 ","3,074 ","-2,969 "
2016-07-29,895 ,"2,115 ","-3,196 "
2016-07-28,"-1,101 ","1,961 ",-801 
2016-07-27,"-1,379 ","2,436 ","-1,035 "
2016-07-26,"-1,733 ","1,926 ",168 
2016-07-25,-810 ,"1,934 ","-1,077 "
2016-07-22,"-1,201 ",720 ,423 
2016-07-21,334 ,446 ,-823 
2016-07-20,320 ,"1,794 ","-2,214 "
2016-07-19,"1,178 ","3,132 ","-4,255 "
2016-07-18,-22 ,"2,238 ","-2,139 "
2016-07-15,"-1,882 ","4,902 ","-3,066 "
2016-07-14,"-1,367 ","3,675 ","-2,281 "
2016-07-13,"-1,874 ","5,802 ","-3,803 "
2016-07-12,"-1,942 ","1,922 ",-484 
2016-07-11,"-3,904 ","2,698 ",832 
2016-07-08,"2,047 ",407 ,"-2,898 "
2016-07-07,-903 ,"1,693 ","-1,196 "
2016-07-06,"5,113 ","-4,277 ","-1,384 "
2016-07-05,"1,382 ",134 ,"-2,108 "
2016-07-04,-665 ,"1,602 ","-1,454 "
2016-07-01,"-2,053 ","2,517 ",-908 
2016-06-30,382 ,"4,040 ","-2,486 "
2016-06-29,-224 ,564 ,-633 
2016-06-28,"1,675 ","-3,686 ","1,542 "
2016-06-27,"-2,164 ","-2,393 ","4,082 "
2016-06-24,349 ,"-1,467 ",553 
2016-06-23,"-2,647 ",276 ,"1,891 "
2016-06-22,"-2,508 ",283 ,"1,729 "
2016-06-21,908 ,"-1,120 ",-304 
2016-06-20,"-1,812 ",188 ,"1,161 "
2016-06-17,-72 ,"-1,022 ",569 
2016-06-16,"1,164 ",443 ,"-2,096 "
2016-06-15,"1,681 ",-211 ,-572 
2016-06-14,"2,269 ","-1,058 ","-1,806 "
2016-06-13,"1,737 ","-1,480 ",-738 
2016-06-10,"-1,141 ",-276 ,895 
2016-06-09,"-2,281 ","4,132 ","-1,958 "
2016-06-08,"-3,145 ","3,095 ",-384 
2016-06-07,"-4,358 ","2,604 ","1,479 "
2016-06-03,"-1,141 ","-1,296 ","3,436 "
2016-06-02,-618 ,"3,876 ","-1,977 "
2016-06-01,-885 ,"2,401 ","-1,895 "
2016-05-31,"-1,607 ","-1,296 ","2,104 "
2016-05-30,-350 ,"1,210 ","-1,246 "
2016-05-27,"-1,760 ","1,514 ",-107 
2016-05-26,-955 ,59 ,644 
2016-05-25,"-3,363 ","1,249 ","2,076 "
2016-05-24,789 ,-598 ,-614 
2016-05-23,-675 ,26 ,334 
2016-05-20,-617 ,"-1,277 ","1,508 "
2016-05-19,310 ,-205 ,-423 
2016-05-18,"1,214 ",356 ,"-1,974 "
2016-05-17,832 ,-535 ,-521 
2016-05-16,-51 ,151 ,-397 
2016-05-13,"2,184 ","-1,437 ","-1,156 "
2016-05-12,"1,105 ",243 ,"-1,283 "
2016-05-11,"1,308 ",704 ,"-2,414 "
2016-05-10,"-1,248 ",355 ,410 
2016-05-09,"1,192 ",-991 ,-527 
2016-05-04,"2,978 ","1,719 ","-4,904 "
2016-05-03,685 ,868 ,"-1,770 "
2016-05-02,"1,803 ",-317 ,"-1,778 "
2016-04-29,"1,095 ",639 ,"-2,031 "
2016-04-28,883 ,"-2,033 ","1,165 "
2016-04-27,776 ,"1,818 ","-2,579 "
2016-04-26,-886 ,"1,358 ",-443 
2016-04-25,-414 ,"2,081 ","-1,598 "
2016-04-22,385 ,"1,551 ","-1,847 "
2016-04-21,"-3,020 ","1,598 ","1,479 "
2016-04-20,-450 ,"1,117 ",-586 
2016-04-19,"-1,526 ",286 ,"1,396 "
2016-04-18,-482 ,"1,996 ","-1,392 "
2016-04-15,"-1,094 ","1,028 ",250 
2016-04-14,"-7,912 ","5,503 ","1,741 "
2016-04-12,-885 ,"1,160 ","-1,028 "
2016-04-11,810 ,-156 ,"-1,284 "
2016-04-08,486 ,"1,651 ","-2,800 "
2016-04-07,298 ,"2,259 ","-3,185 "
2016-04-06,"1,196 ","1,172 ","-2,994 "
2016-04-05,"1,944 ","-1,926 ",-733 
2016-04-04,615 ,574 ,"-1,931 "
2016-04-01,"2,851 ","-2,106 ",-466 
2016-03-31,821 ,"-2,100 ",575 
2016-03-30,"-1,266 ",371 ,68 
2016-03-29,"-1,845 ","1,474 ",-265 
2016-03-28,-251 ,-126 ,-320 
2016-03-25,-707 ,-424 ,409 
2016-03-24,592 ,455 ,"-1,732 "
2016-03-23,-436 ,115 ,-451 
2016-03-22,"-1,151 ","1,360 ",-884 
2016-03-21,"1,035 ","1,353 ","-3,130 "
2016-03-18,297 ,"2,783 ","-3,429 "
2016-03-17,"-2,685 ","7,364 ","-1,455 "
2016-03-16,-459 ,976 ,-908 
2016-03-15,95 ,631 ,"-1,314 "
2016-03-14,"1,352 ",819 ,"-2,450 "
2016-03-11,-568 ,"1,475 ","-1,501 "
2016-03-10,"-1,219 ","6,503 ","-5,820 "
2016-03-09,-46 ,-207 ,-260 
2016-03-08,"1,060 ",-961 ,-613 
2016-03-07,-536 ,"2,011 ","-1,988 "
2016-03-04,-455 ,"1,598 ","-1,321 "
2016-03-03,"-3,148 ","4,960 ","-2,354 "
2016-03-02,"-4,110 ","3,760 ",-154 
2016-02-29,-538 ,"1,719 ","-1,893 "
2016-02-26,-427 ,"2,424 ","1,634 "
2016-02-25,"1,008 ",197 ,-112 
2016-02-24,-327 ,-200 ,-166 
2016-02-23,-156 ,-67 ,-524 
2016-02-22,-537 ,335 ,-473 
2016-02-19,"-1,784 ","1,669 ",-684 
2016-02-18,"-3,020 ",858 ,"1,368 "
2016-02-17,"-1,588 ",-220 ,694 
2016-02-16,"-2,307 ",813 ,837 
2016-02-15,"-1,241 ","-1,257 ","2,207 "
2016-02-12,"-1,903 ","-3,017 ","4,287 "
2016-02-11,430 ,"-1,662 ",615 
2016-02-05,"-1,527 ",-14 ,"5,659 "
2016-02-04,"-3,599 ","1,480 ","1,703 "
2016-02-03,"1,242 ","-1,912 ",-12 
2016-02-02,277 ,-321 ,-543 
2016-02-01,"-2,393 ","1,826 ",32 
2016-01-29,"-1,771 ","1,750 ",-652 
2016-01-28,"-1,029 ",-172 ,"16,441 "
2016-01-27,"-3,036 ",322 ,"2,683 "
2016-01-26,"3,172 ","-1,914 ","-1,364 "
2016-01-25,"-1,860 ",-826 ,"2,576 "
2016-01-22,"-2,013 ","-1,577 ","3,461 "
2016-01-21,-271 ,"-2,975 ","3,156 "
2016-01-20,"3,004 ","-2,278 ",-842 
2016-01-19,879 ,"-2,792 ","1,772 "
2016-01-18,121 ,"-3,463 ","3,186 "
2016-01-15,"2,517 ","-2,168 ",-680 
2016-01-14,"2,957 ","-3,730 ",436 
2016-01-13,"-1,885 ",-503 ,"2,206 "
2016-01-12,"1,441 ","-2,213 ",-15 
2016-01-11,"2,569 ","-1,130 ",861 
2016-01-08,-472 ,"-1,500 ","1,232 "
2016-01-07,"1,844 ","-2,680 ",79 
2016-01-06,"1,029 ","1,642 ",-692 
2016-01-05,167 ,"-1,894 ","1,000 "
2016-01-04,"4,157 ","-1,567 ","-3,471 "
2015-12-30,"2,297 ",-365 ,"-2,822 "
2015-12-29,"2,643 ",-933 ,"-2,774 "
2015-12-28,"-1,952 ",-323 ,"1,497 "
2015-12-24,"-3,624 ",-71 ,"3,509 "
2015-12-23,"-4,810 ",-61 ,"4,404 "
2015-12-22,"-2,716 ",-72 ,"2,166 "
2015-12-21,"-1,420 ","-1,208 ","2,255 "
2015-12-18,-663 ,"-1,420 ","1,759 "
2015-12-17,"-1,761 ",-652 ,"1,779 "
2015-12-16,"-3,954 ","-1,610 ","5,339 "
2015-12-15,-92 ,"-3,562 ","2,750 "
2015-12-14,"-1,478 ","-2,959 ","3,437 "
2015-12-11,-321 ,"-2,306 ","1,178 "
2015-12-10,165 ,"-3,565 ","2,303 "
2015-12-09,-132 ,"-2,443 ","1,490 "
2015-12-08,598 ,"-1,813 ",250 
2015-12-07,703 ,"-1,478 ",-481 
2015-12-04,"1,542 ","-3,634 ",652 
2015-12-03,"2,111 ","-2,556 ",-805 
2015-12-02,"1,221 ","-3,040 ",74 
2015-12-01,"-2,128 ","1,107 ",470 
2015-11-30,"3,660 ","-5,394 ",541 
2015-11-27,"-1,364 ",-300 ,213 
2015-11-26,"-2,903 ",643 ,"1,599 "
2015-11-25,153 ,"-1,966 ",756 
2015-11-24,"-1,250 ","-1,831 ","2,295 "
2015-11-23,"-1,980 ","-1,056 ","1,681 "
2015-11-20,"-1,175 ","-1,784 ","1,445 "
2015-11-19,"-7,678 ","2,876 ","3,384 "
2015-11-18,400 ,"-1,426 ",239 
2015-11-17,-835 ,"-1,656 ","1,569 "
2015-11-16,"1,165 ","-2,356 ",112 
2015-11-13,"1,111 ","-2,102 ",-446 
2015-11-12,"1,057 ","-2,200 ",-235 
2015-11-11,"1,362 ","-2,246 ",65 
2015-11-10,"3,969 ",-673 ,"-1,681 "
2015-11-09,734 ,30 ,"-1,885 "
2015-11-06,552 ,-513 ,"-1,373 "
2015-11-05,457 ,-303 ,"-1,272 "
2015-11-04,"-2,256 ","1,150 ",-384 
2015-11-03,"-3,066 ",298 ,"1,014 "
2015-11-02,-228 ,"1,325 ","-2,494 "
2015-10-30,"1,438 ",-277 ,"-1,300 "
2015-10-29,731 ,-285 ,-495 
2015-10-28,177 ,"-2,215 ","1,722 "
2015-10-27,277 ,-124 ,-182 
2015-10-26,"-1,620 ","1,589 ",10 
2015-10-23,"-2,813 ","1,123 ","1,626 "
2015-10-22,"2,368 ","-2,868 ",252 
2015-10-21,-780 ,-60 ,455 
2015-10-20,"-1,312 ",373 ,782 
2015-10-19,-442 ,631 ,-266 
2015-10-16,849 ,"-2,155 ","1,241 "
2015-10-15,"-2,912 ",382 ,"2,324 "
2015-10-14,536 ,"-1,114 ",388 
2015-10-13,-331 ,"1,040 ",-901 
2015-10-12,"-2,672 ","1,330 ",859 
2015-10-08,"-2,031 ","1,885 ",-378 
2015-10-07,"-2,109 ",879 ,874 
2015-10-06,"-1,627 ","1,380 ",913 
2015-10-05,"-1,359 ",-161 ,734 
2015-10-02,"1,059 ","-1,280 ",-124 
2015-10-01,"-3,055 ","1,007 ","1,712 "
2015-09-30,-356 ,"1,480 ","-1,510 "
2015-09-25,861 ,"-3,002 ","1,516 "
2015-09-24,"5,900 ","-2,203 ",624 
2015-09-23,"3,892 ","-2,997 ","1,526 "
2015-09-22,"-1,017 ",-198 ,"1,129 "
2015-09-21,"2,537 ","-1,926 ","-1,106 "
2015-09-18,"-1,981 ","1,703 ",-105 
2015-09-17,"-2,685 ","1,227 ","1,344 "
2015-09-16,"-5,911 ","2,185 ","3,590 "
2015-09-15,"-1,341 ","-1,183 ","2,111 "
2015-09-14,503 ,-596 ,-317 
2015-09-11,324 ,-567 ,-348 
2015-09-10,"-3,778 ","-2,323 ","6,004 "
2015-09-09,"-3,886 ","-1,477 ","5,382 "
2015-09-08,235 ,"-2,506 ","1,749 "
2015-09-07,-220 ,"-2,867 ","2,677 "
2015-09-04,"2,041 ",-231 ,"-2,225 "
2015-09-03,"1,423 ","-1,211 ",-406 
2015-09-02,-294 ,-885 ,665 
2015-09-01,"2,368 ",-77 ,"-2,784 "
2015-08-31,-68 ,-367 ,333 
2015-08-28,-591 ,-383 ,"1,158 "
2015-08-27,"1,905 ","-3,483 ","1,205 "
2015-08-26,"1,106 ","-5,505 ","3,913 "
2015-08-25,"3,027 ","-5,289 ","2,146 "
2015-08-24,"2,980 ","-7,291 ","4,010 "
2015-08-21,"-5,329 ","-4,463 ","9,238 "
2015-08-20,-378 ,"-2,936 ","2,885 "
2015-08-19,"-2,192 ",-256 ,"1,675 "
2015-08-18,"-1,018 ",-189 ,839 
2015-08-17,"1,349 ","-3,223 ","1,543 "
2015-08-13,-275 ,"-2,168 ","1,993 "
2015-08-12,197 ,"-3,036 ","2,635 "
2015-08-11,756 ,-820 ,-209 
2015-08-10,672 ,-584 ,-26 
2015-08-07,"1,517 ",-307 ,"-1,731 "
2015-08-06,"1,759 ","-1,004 ","-1,438 "
2015-08-05,-642 ,-261 ,178 
2015-08-04,"-1,735 ",573 ,747 
2015-08-03,550 ,-89 ,"-1,051 "
