,날짜,전월대비 등락률
155,2017-12-31,0.13245193569620858
156,2018-01-31,3.5008973040550053
157,2018-02-28,-5.419916928376048
158,2018-03-31,0.69210994660865
159,2018-04-30,2.913884524744708
160,2018-05-31,-3.672208572859762
161,2018-06-30,-6.251315512523689
162,2018-07-31,1.044225503402989
163,2018-08-31,1.2033495116021666
164,2018-09-30,0.6888001102080176
165,2018-10-31,-13.219575181283352
166,2018-11-30,3.309372367208789
167,2018-12-31,-4.142384327041391
168,2019-01-31,9.694029850746265
169,2019-02-28,-0.4267864027031251
170,2019-03-31,-1.2371096454469197
171,2019-04-30,1.6284797166417595
172,2019-05-31,-7.344832750194008
173,2019-06-30,4.310049271699618
174,2019-07-31,-4.939100547484662
175,2019-08-31,-2.7344348126744165
176,2019-09-30,4.766426804929952
177,2019-10-31,0.9902813795109103
