,날짜,종가,전월대비 등락률,외국인순매수,개인순매수,기관순매수,시가총액대비,환율,환율 차분
31,2007-08-01,1873.239990234375,-0.0310510320288472,-61168,2310,33145,35.5,937.0999755859376,0.018100009886947422
32,2007-09-01,1946.47998046875,0.039098028344575,-19155,5695,9984,35.0,911.3900146484376,-0.02743566493150788
33,2007-10-01,2064.85009765625,0.0608123989844448,-27040,15455,6459,34.1,898.6900024414062,-0.013934772164395839
34,2007-11-01,1906.0,-0.0769305712974302,-30508,12855,17627,34.1,919.47998046875,0.02313364783280677
35,2007-12-01,1897.1300048828125,-0.0046537225168874,-18414,1665,17118,34.2,935.0700073242188,0.016955265135322434
36,2008-01-01,1624.6800537109375,-0.1436116399354004,-49763,17501,42326,32.3,941.219970703125,0.0065770084921287185
37,2008-02-01,1711.6199951171875,0.0535120383903711,-20089,2560,10357,30.9,937.8400268554688,-0.0035910243650390367
38,2008-03-01,1703.989990234375,-0.0044577680236144,-16305,1574,28923,30.6,992.280029296875,0.05804828209768449
39,2008-04-01,1825.469970703125,0.0712914871360488,-11662,-9464,21122,31.3,1002.4000244140624,0.01019872900632533
40,2008-05-01,1852.02001953125,0.0145442265576675,9215,8616,1154,31.2,1029.0999755859375,0.02663602406382837
41,2008-06-01,1674.9200439453125,-0.0956253030303429,-37993,18224,29455,30.8,1046.0,0.016422140525695916
42,2008-07-01,1594.6700439453125,-0.0479127348735819,-49436,-390,37071,30.0,1010.7000122070312,-0.03374759827243666
43,2008-08-01,1474.239990234375,-0.0755203586899933,-29999,-334,24263,30.3,1088.4000244140625,0.0768774228441537
44,2008-09-01,1448.06005859375,-0.0177582563314287,-20644,2577,31548,29.4,1204.800048828125,0.10694599577643907
45,2008-10-01,1113.06005859375,-0.2313439957216467,-39671,18798,14518,29.8,1289.199951171875,0.07005303695484026
46,2008-11-01,1076.0699462890625,-0.0332328089747656,-16437,3547,12890,29.4,1467.9000244140625,0.13861315545331057
47,2008-12-01,1124.469970703125,0.0449785114629164,8550,-3882,4398,28.7,1252.9000244140625,-0.1464677405982202
48,2009-01-01,1162.1099853515625,0.0334735614370398,2088,17932,1530,28.7,1377.0999755859375,0.0991299774536751
49,2009-02-01,1063.030029296875,-0.0852586737086797,-8747,22555,-14311,28.5,1530.300048828125,0.1112483305193604
50,2009-03-01,1206.260009765625,0.1347374735627057,2047,-6765,4009,28.0,1375.0999755859375,-0.10141806723526985
51,2009-04-01,1369.3599853515625,0.1352112929762362,34788,13016,-31063,27.9,1278.0999755859375,-0.0705403255924485
52,2009-05-01,1395.8900146484375,0.0193740357398159,40767,14219,-57168,28.6,1250.0999755859375,-0.0219075193919502
53,2009-06-01,1390.0699462890625,-0.0041694319024416,17465,11611,-32119,29.5,1272.5999755859375,0.01799856046669705
54,2009-07-01,1557.2900390625,0.1202961715846379,58517,-32884,-15352,30.8,1223.0999755859375,-0.03889674756374951
55,2009-08-01,1591.8499755859375,0.0221923570154233,36431,12095,-32053,31.1,1249.5,0.02158451879734142
56,2009-09-01,1673.1400146484375,0.0510663946409763,11410,14217,-30901,32.2,1173.699951171875,-0.060664304784413765
57,2009-10-01,1580.68994140625,-0.0552554313642503,14600,6234,-20840,32.3,1185.5,0.010053718428072948
58,2009-11-01,1555.5999755859375,-0.0158727940015809,11549,-2373,-10128,32.7,1160.5999755859375,-0.021003816460617882
59,2009-12-01,1682.77001953125,0.081749836681125,22489,-20679,12030,32.7,1161.5999755859375,0.0008616233164188571
60,2010-01-01,1602.4300537109375,-0.0477426890708998,6202,907,-15510,32.5,1158.199951171875,-0.0029270183243137985
61,2010-02-01,1594.5799560546875,-0.0048988707108123,-182,-1672,1434,32.1,1161.4000244140625,0.0027629713150563017
62,2010-03-01,1692.8499755859375,0.0616275271478953,46714,-26628,-11588,32.5,1131.5999755859375,-0.025658729293689668
63,2010-04-01,1741.56005859375,0.0287740105208984,39151,-208,-41871,33.1,1107.9000244140625,-0.020943753696710067
64,2010-05-01,1641.25,-0.057597817599668,-23169,34272,4816,31.7,1200.0,0.08313022254390383
65,2010-06-01,1698.2900390625,0.0347540222772277,6848,-9329,5705,31.5,1227.199951171875,0.0226666259765625
66,2010-07-01,1759.3299560546875,0.0359419861084995,14155,-6787,-10777,31.8,1184.0999755859375,-0.035120581242511106
67,2010-08-01,1742.75,-0.0094240173638992,-5602,3411,-1146,31.5,1193.0999755859375,0.0076007095562572406
68,2010-09-01,1872.81005859375,0.0746292116446707,30395,-22749,-15688,31.6,1139.199951171875,-0.04517645253290021
