,날짜,종가,전월대비 등락률,년도,월,date,외국인순매수
57,2009-10-30,1580.68994140625,-0.05525543136425031,2009 ,10,2009 10,14600
58,2009-11-30,1555.5999755859375,-0.01587279400158097,2009 ,11,2009 11,11549
59,2009-12-30,1682.77001953125,0.08174983668112505,2009 ,12,2009 12,22489
60,2010-01-29,1602.4300537109375,-0.047742689070899826,2010 ,01,2010 01,6202
61,2010-02-26,1594.5799560546875,-0.004898870710812367,2010 ,02,2010 02,-182
62,2010-03-31,1692.8499755859375,0.06162752714789533,2010 ,03,2010 03,46714
63,2010-04-30,1741.56005859375,0.02877401052089848,2010 ,04,2010 04,39151
64,2010-05-31,1641.25,-0.05759781759966804,2010 ,05,2010 05,-23169
65,2010-06-30,1698.2900390625,0.03475402227722772,2010 ,06,2010 06,6848
66,2010-07-30,1759.3299560546875,0.03594198610849953,2010 ,07,2010 07,14155
67,2010-08-31,1742.75,-0.009424017363899261,2010 ,08,2010 08,-5602
68,2010-09-30,1872.81005859375,0.07462921164467078,2010 ,09,2010 09,30395
69,2010-10-29,1882.949951171875,0.005414266402295389,2010 ,10,2010 10,18822
70,2010-11-30,1904.6300048828125,0.011513876774815324,2010 ,11,2010 11,12884
71,2010-12-30,2051.0,0.07684956907217962,2010 ,12,2010 12,36177
72,2011-01-31,2069.72998046875,0.009132121145173087,2011 ,01,2011 01,10143
73,2011-02-28,1939.300048828125,-0.0630178491259451,2011 ,02,2011 02,-17947
74,2011-03-31,2106.699951171875,0.0863197535857878,2011 ,03,2011 03,16054
75,2011-04-29,2192.360107421875,0.04066082414932919,2011 ,04,2011 04,8964
76,2011-05-31,2142.469970703125,-0.02275636039437825,2011 ,05,2011 05,-9220
77,2011-06-30,2100.68994140625,-0.019500870429079317,2011 ,06,2011 06,-752
78,2011-07-29,2133.2099609375,0.015480637523060807,2011 ,07,2011 07,-3231
79,2011-08-31,1880.1099853515625,-0.11864747503555885,2011 ,08,2011 08,-20552
80,2011-09-30,1769.6500244140625,-0.058751861219887645,2011 ,09,2011 09,-10460
81,2011-10-31,1909.030029296875,0.07876133866014651,2011 ,10,2011 10,16480
82,2011-11-30,1847.510009765625,-0.032225799797349845,2011 ,11,2011 11,-26804
83,2011-12-29,1825.739990234375,-0.011783437933314225,2011 ,12,2011 12,-10281
84,2012-01-31,1955.7900390625,0.07123141823246701,2012 ,01,2012 01,25228
85,2012-02-29,2030.25,0.038071551368158145,2012 ,02,2012 02,32583
86,2012-03-30,2014.0400390625,-0.007984219154045069,2012 ,03,2012 03,3640
87,2012-04-30,1981.989990234375,-0.0159133126484634,2012 ,04,2012 04,-236
88,2012-05-31,1843.469970703125,-0.0698893638281542,2012 ,05,2012 05,-39637
89,2012-06-29,1854.010009765625,0.00571749973148729,2012 ,06,2012 06,-9756
90,2012-07-31,1881.989990234375,0.015091601621011256,2012 ,07,2012 07,1034
91,2012-08-31,1905.1199951171875,0.012290184859023607,2012 ,08,2012 08,20461
92,2012-09-28,1996.2099609375,0.047813243288493956,2012 ,09,2012 09,19508
93,2012-10-31,1912.06005859375,-0.04215483540831038,2012 ,10,2012 10,-11855
94,2012-11-30,1932.9000244140625,0.010899221353768317,2012 ,11,2012 11,-5451
95,2012-12-28,1997.050048828125,0.03318848549009092,2012 ,12,2012 12,35557
96,2013-01-31,1961.93994140625,-0.01758098523493576,2013 ,01,2013 01,-18941
97,2013-02-28,2026.489990234375,0.03290113395716781,2013 ,02,2013 02,9849
98,2013-03-29,2004.8900146484375,-0.010658811881641389,2013 ,03,2013 03,-24656
99,2013-04-30,1963.949951171875,-0.020420104433380323,2013 ,04,2013 04,-22911
100,2013-05-31,2001.050048828125,0.018890551479742463,2013 ,05,2013 05,7647
101,2013-06-28,1863.3199462890625,-0.06882891440907307,2013 ,06,2013 06,-23130
102,2013-07-31,1914.030029296875,0.02721490912433226,2013 ,07,2013 07,7984
103,2013-08-30,1926.3599853515625,0.00644188224111455,2013 ,08,2013 08,21127
104,2013-09-30,1996.9599609375,0.03664941969455047,2013 ,09,2013 09,40919
105,2013-10-31,2030.0899658203125,0.0165902198996815,2013 ,10,2013 10,40980
106,2013-11-29,2044.8699951171875,0.007280479951982193,2013 ,11,2013 11,-1981
107,2013-12-30,2011.3399658203125,-0.01639714474609104,2013 ,12,2013 12,-11634
108,2014-01-29,1941.1500244140625,-0.034897104715772634,2014 ,01,2014 01,-16452
109,2014-02-28,1979.989990234375,0.020008739835570603,2014 ,02,2014 02,-702
110,2014-03-31,1985.6099853515625,0.0028383957216481944,2014 ,03,2014 03,-11424
111,2014-04-30,1961.7900390625,-0.011996286513861913,2014 ,04,2014 04,27460
112,2014-05-30,1994.9599609375,0.016907987712513433,2014 ,05,2014 05,19091
113,2014-06-30,2002.2099609375,0.003634158149516433,2014 ,06,2014 06,10931
114,2014-07-31,2076.1201171875,0.03691428855712657,2014 ,07,2014 07,34424
115,2014-08-29,2068.5400390625,-0.003651078789828721,2014 ,08,2014 08,18237
116,2014-09-30,2020.0899658203125,-0.023422352155265003,2014 ,09,2014 09,-6274
117,2014-10-31,1964.4300537109375,-0.02755318478440775,2014 ,10,2014 10,-20442
118,2014-11-28,1980.780029296875,0.008323012343988181,2014 ,11,2014 11,15453
119,2014-12-30,1915.5899658203125,-0.03291130893504781,2014 ,12,2014 12,-16187
120,2015-01-30,1949.260009765625,0.01757685336950175,2015 ,01,2015 01,-10449
121,2015-02-27,1985.800048828125,0.01874559518968098,2015 ,02,2015 02,13278
122,2015-03-31,2041.030029296875,0.027812458007211112,2015 ,03,2015 03,28641
123,2015-04-30,2127.169921875,0.042204127985221156,2015 ,04,2015 04,38748
124,2015-05-29,2114.800048828125,-0.0058151786181573776,2015 ,05,2015 05,16637
125,2015-06-30,2074.199951171875,-0.01919807864518811,2015 ,06,2015 06,-10508
126,2015-07-31,2030.1600341796875,-0.021232242806343702,2015 ,07,2015 07,-17997
127,2015-08-31,1941.489990234375,-0.04367638139480013,2015 ,08,2015 08,-33790
128,2015-09-30,1962.81005859375,0.010981291928680642,2015 ,09,2015 09,-17654
129,2015-10-30,2029.469970703125,0.03396146856773972,2015 ,10,2015 10,1080
130,2015-11-30,1991.969970703125,-0.018477730905773315,2015 ,11,2015 11,-19484
131,2015-12-30,1961.31005859375,-0.015391754173157877,2015 ,12,2015 12,-32964
132,2016-01-29,1912.06005859375,-0.025110767052972754,2016 ,01,2016 01,-29668
133,2016-02-29,1916.6600341796875,0.0024057694031434417,2016 ,02,2016 02,2651
134,2016-03-31,1995.8499755859375,0.041316634141715464,2016 ,03,2016 03,20323
135,2016-04-29,1994.1500244140625,-0.0008517429629829426,2016 ,04,2016 04,19570
136,2016-05-31,1983.4000244140625,-0.005390767930391121,2016 ,05,2016 05,1798
137,2016-06-30,1970.3499755859375,-0.006579635306791052,2016 ,06,2016 06,7893
138,2016-07-29,2016.18994140625,0.023264885115996073,2016 ,07,2016 07,33975
139,2016-08-31,2034.6500244140625,0.009155924562810279,2016 ,08,2016 08,10792
140,2016-09-30,2043.6300048828125,0.004413525845230337,2016 ,09,2016 09,10816
141,2016-10-31,2008.18994140625,-0.01734172202986163,2016 ,10,2016 10,3986
142,2016-11-30,1983.47998046875,-0.012304593518776748,2016 ,11,2016 11,-3556
143,2016-12-29,2026.4599609375,0.021668976189309793,2016 ,12,2016 12,10106
144,2017-01-31,2067.570068359375,0.020286661574530324,2017 ,01,2017 01,16395
145,2017-02-28,2091.639892578125,0.011641600247119799,2017 ,02,2017 02,3137
146,2017-03-31,2160.22998046875,0.03279249364769088,2017 ,03,2017 03,28470
147,2017-04-28,2205.43994140625,0.02092830918293702,2017 ,04,2017 04,1105
148,2017-05-31,2347.3798828125,0.06435901460809906,2017 ,05,2017 05,13217
149,2017-06-30,2391.7900390625,0.01891903248177718,2017 ,06,2017 06,16701
150,2017-07-31,2402.7099609375,0.0045655854806052444,2017 ,07,2017 07,-5325
151,2017-08-31,2363.18994140625,-0.016448102423411066,2017 ,08,2017 08,-13019
152,2017-09-29,2394.469970703125,0.013236358512198716,2017 ,09,2017 09,-16122
153,2017-10-31,2523.429931640625,0.0538574141732216,2017 ,10,2017 10,13282
154,2017-11-30,2476.3701171875,-0.01864914649028069,2017 ,11,2017 11,6324
155,2017-12-28,2467.489990234375,-0.0035859449649677045,2017 ,12,2017 12,-17500
156,2018-01-31,2566.4599609375,0.040109573329504905,2018 ,01,2018 01,26209
157,2018-02-28,2427.360107421875,-0.0541991130322615,2018 ,02,2018 02,-15569
158,2018-03-30,2445.85009765625,0.007617324754510123,2018 ,03,2018 03,-13285
159,2018-04-30,2515.3798828125,0.02842765598058414,2018 ,04,2018 04,-2820
160,2018-05-31,2423.010009765625,-0.03672203696866426,2018 ,05,2018 05,-10748
161,2018-06-29,2326.1298828125,-0.03998337875727394,2018 ,06,2018 06,-15799
162,2018-07-31,2295.260009765625,-0.01327091546992662,2018 ,07,2018 07,3722
163,2018-08-31,2322.8798828125,0.012033439753823505,2018 ,08,2018 08,16478
164,2018-09-28,2343.070068359375,0.00869187670712835,2018 ,09,2018 09,-3589
165,2018-10-31,2029.68994140625,-0.13374765491864046,2018 ,10,2018 10,-39888
166,2018-11-30,2096.860107421875,0.03309380642103731,2018 ,11,2018 11,3536
167,2018-12-28,2041.0400390625,-0.026620787987619604,2018 ,12,2018 12,-593
168,2019-01-31,2204.85009765625,0.08025813088360187,2019 ,01,2019 01,32169
169,2019-02-28,2195.43994140625,-0.004267934704496678,2019 ,02,2019 02,1350
170,2019-03-29,2140.669921875,-0.024947172773110815,2019 ,03,2019 03,3005
171,2019-04-30,2203.590087890625,0.029392745407714985,2019 ,04,2019 04,23820
172,2019-05-31,2041.739990234375,-0.07344836888932467,2019 ,05,2019 05,-17476
173,2019-06-28,2130.6201171875,0.04353156003126642,2019 ,06,2019 06,7083
174,2019-07-31,2024.550048828125,-0.04978366040183247,2019 ,07,2019 07,20336
175,2019-08-30,1967.7900390625,-0.028035863968134317,2019 ,08,2019 08,-16919
176,2019-09-30,2063.050048828125,0.048409641208982356,2019 ,09,2019 09,-8616
177,2019-10-31,2083.47998046875,0.009902780425627493,2019 ,10,2019 10,-5571
178,2019-11-29,2087.9599609375,0.002150239268314004,2019 ,11,2019 11,-23179
179,2019-12-30,2197.669921875,0.052544092314988605,2019 ,12,2019 12,6002
180,2020-01-31,2119.010009765625,-0.03579241419578798,2020 ,01,2020 01,3199
181,2020-02-28,1987.010009765625,-0.062293240424380995,2020 ,02,2020 02,-2507
182,2020-03-31,1754.6400146484375,-0.11694455185185322,2020 ,03,2020 03,-31787
183,2020-04-29,1947.56005859375,0.10994850358748161,2020 ,04,2020 04,-28972
184,2020-05-29,2029.5999755859375,0.04212446061941988,2020 ,05,2020 05,-29413
185,2020-06-30,2108.330078125,0.03879094574601255,2020 ,06,2020 06,-11992
186,2020-07-31,2249.3701171875,0.06689656450185971,2020 ,07,2020 07,-2613
187,2020-08-31,2326.169921875,0.03414280473483245,2020 ,08,2020 08,-11994
188,2020-09-29,2327.889892578125,0.0007394002849708522,2020 ,09,2020 09,-8628
189,2020-10-30,2267.14990234375,-0.026092295184591312,2020 ,10,2020 10,-1643
190,2020-11-30,2591.340087890625,0.14299459652479593,2020 ,11,2020 11,29375
191,2020-12-30,2873.469970703125,0.10887412429225234,2020 ,12,2020 12,-3165
192,2021-01-29,2976.2099609375,0.035754676847809544,2021 ,01,2021 01,1343
193,2021-02-26,3012.949951171875,0.012344555900485589,2021 ,02,2021 02,-7847
194,2021-03-31,3061.419921875,0.01608721402234803,2021 ,03,2021 03,-14133
195,2021-04-30,3147.860107421875,0.028235324703163808,2021 ,04,2021 04,6872
196,2021-05-31,3203.919921875,0.017808864606451168,2021 ,05,2021 05,-17386
197,2021-06-30,3296.679931640625,0.02895203751264168,2021 ,06,2021 06,1814
198,2021-07-30,3202.320068359375,-0.02862269472253283,2021 ,07,2021 07,-30272
199,2021-08-31,3199.27001953125,-0.0009524497124010508,2021 ,08,2021 08,-21081
200,2021-09-30,3068.820068359375,-0.04077491126897386,2021 ,09,2021 09,5979
201,2021-10-29,2970.679931640625,-0.03197976242745858,2021 ,10,2021 10,-16287
202,2021-11-30,2839.010009765625,-0.044323159985223425,2021 ,11,2021 11,11342
203,2021-12-30,2977.64990234375,0.048833886496078414,2021 ,12,2021 12,15250
204,2022-01-28,2663.340087890625,-0.10555633629249944,2022 ,01,2022 01,-389
205,2022-02-28,2699.179931640625,0.013456728231198324,2022 ,02,2022 02,-6207
206,2022-03-31,2757.64990234375,0.021662124120634514,2022 ,03,2022 03,-23373
207,2022-04-22,2704.7099609375,-0.02270048773412141,2022 ,04,2022 04,-19037
